roll,slashing,bludgeoning,piercing,fire,cold,lightning,force,necrotic,radiant,acid,psychic,thunder
64,**Vile suffering: **You deal double damage and the target must make a successful DC 19 CON Save or receive disadvantage for its next attack.,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack
65,**Vile suffering: **You deal double damage and the target must make a successful DC 19 CON Save or receive disadvantage for its next attack.,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack
66,**Vile suffering: **You deal double damage and the target must make a successful DC 19 CON Save or receive disadvantage for its next attack.,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack,**Vile suffering: **The target must make a successful DC 15 CON Save or receive disadvantage for its next attack
67,**Ruinous harm: **The target must make a successful DC 19 CON Save or suffer an additional 2d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 fire damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 cold damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 lightning damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 force damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 necrotic damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 radiant damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 acid damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 psychic damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 thunder damage.
68,**Ruinous harm: **The target must make a successful DC 19 CON Save or suffer an additional 2d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 fire damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 cold damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 lightning damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 force damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 necrotic damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 radiant damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 acid damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 psychic damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 thunder damage.
69,**Ruinous harm: **The target must make a successful DC 19 CON Save or suffer an additional 2d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 fire damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 cold damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 lightning damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 force damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 necrotic damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 radiant damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 acid damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 psychic damage.,**Ruinous harm: **The target must make a successful DC 14 CON Save or suffer an additional 1d12 thunder damage.
70,**Slow and agonizing death: **The target must make a successful DC 19 CON Save or suffer an additional 2d8 damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 fire damage every rd. until it saves. ,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 cold damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 lightning damage every rd. until it saves. ,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 force damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 necrotic damage every rd. until it saves. ,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 radiant damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 acid damage every rd. until it saves. ,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 psychic damage every rd. until it saves.,**Slow and agonizing death: **The target must make a successful DC 15 CON Save or suffer an additional 2d8 thunder damage every rd. until it saves.
71,**Dire consequences: **You deal double damage and your allies receive advantage on all attacks vs. the target until the start of your next turn. ,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.
72,**Dire consequences: **You deal double damage and your allies receive advantage on all attacks vs. the target until the start of your next turn. ,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.
73,**Dire consequences: **You deal double damage and your allies receive advantage on all attacks vs. the target until the start of your next turn. ,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.,**Dire consequences: **Your allies receive advantage on all attacks vs. the target until the start of your next turn.
74,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.
75,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.
76,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.,**Excruciating damage: **Reroll all 1s and 2s and 3s on the damage roll for this attack.
77,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.
78,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.
79,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all melee attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter. ,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.,**Vexing anguish: **You receive advantage for all attacks vs. the target and the target has disadvantage for the remainder of the encounter.
80,**Maimed: **The target’s arm is severed. It suffers disadvantage for the remainder of the encounter and suffers 2d10 damage every rd. until healed.,**Broken bones: **The target’s arm is broken. It suffers disadvantage for the remainder of the encounter and suffers 2d10 damage every rd. until healed.,**Speared: **The target’s arm is rendered useless. It suffers disadvantage for the remainder of the encounter and suffers 2d10 damage every rd. until healed.,**Consumed: **The target’s arm is burnt to ash. It suffers disadvantage for the remainder of the encounter and 2d10 fire damage every rd. until healed.,**Icy grip: **The target’s arm shatters. It suffers disadvantage for the remainder of the encounter and 2d10 cold damage every rd. until healed.,**Consumed: **The target’s arm is burnt to ash. It suffers disadvantage for the remainder of the encounter and 2d10 fire damage every rd. until healed.,**Consumed: **The target’s arm is burnt to ash. It suffers disadvantage for the remainder of the encounter and 2d10 force damage every rd. until healed.,**Withered: **The target’s arm is rotted away. It suffers disadvantage for the remainder of the encounter and 2d10 necrotic damage every rd. until healed.,**Hallowed: **The target’s arm is burnt to ash. It suffers disadvantage for the remainder of the encounter and 2d10 radiant damage every rd. until healed.,**Consumed: **The target’s arm is dissolved. It suffers disadvantage for the remainder of the encounter and 2d10 acid damage every rd. until healed. ,**Catatonic: **The target suffers disadvantage for the remainder of the encounter and 2d10 psychic damage every rd. until healed.,**Blown to pieces: **The target suffers disadvantage for the remainder of the encounter and 2d10 thunder damage every rd. until healed.
81,**Gutted: **The target suffers triple damage and is incapacitated for 1 rd.,**Fracturing bash: **The target suffers triple damage and is incapacitated for 1 rd.,**Impaled: **The target suffers triple damage and is incapacitated for 1 rd.,**Scorching devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Wintry devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Staggering charge: **The target suffers triple damage and is incapacitated for 1 rd.,**Sorcerous devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Dark finality: **The target suffers triple damage and is incapacitated for 1 rd.,**Scorching devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Acidic devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Rational devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Rumbling devastation: **The target suffers triple damage and is incapacitated for 1 rd.
82,**Gutted: **The target suffers triple damage and is incapacitated for 1 rd.,**Fracturing bash: **The target suffers triple damage and is incapacitated for 1 rd.,**Impaled: **The target suffers triple damage and is incapacitated for 1 rd.,**Scorching devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Wintry devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Staggering charge: **The target suffers triple damage and is incapacitated for 1 rd.,**Sorcerous devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Dark finality: **The target suffers triple damage and is incapacitated for 1 rd.,**Scorching devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Acidic devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Rational devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Rumbling devastation: **The target suffers triple damage and is incapacitated for 1 rd.
83,**Gutted: **The target suffers triple damage and is incapacitated for 1 rd.,**Fracturing bash: **The target suffers triple damage and is incapacitated for 1 rd.,**Impaled: **The target suffers triple damage and is incapacitated for 1 rd.,**Scorching devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Wintry devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Staggering charge: **The target suffers triple damage and is incapacitated for 1 rd.,**Sorcerous devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Dark finality: **The target suffers triple damage and is incapacitated for 1 rd.,**Scorching devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Acidic devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Rational devastation: **The target suffers triple damage and is incapacitated for 1 rd.,**Rumbling devastation: **The target suffers triple damage and is incapacitated for 1 rd.
84,**Gaping wound: **The target suffers the damage rolled for the attack each round until healed.,**Crushed: **The target suffers the damage rolled for the attack each round until healed.,**Pierced artery: **The target suffers the damage rolled for the attack each round until healed.,**Burnt to ash: **The target suffers the damage rolled for the attack each round until healed.,**Snowstruck: **The target suffers the damage rolled for the attack each round until healed.,**Lingering static: **The target suffers the damage rolled for the attack each round until healed.,**Burnt to ash: **The target suffers the damage rolled for the attack each round until healed.,**Lost cause: **The target suffers the damage rolled for the attack each round until healed.,**Everlasting shame: **The target suffers the damage rolled for the attack each round until healed.,**Eaten away: **The target suffers the damage rolled for the attack each round until healed.,**Cognitive disruption: **The target suffers the damage rolled for the attack each round until healed.,**Thunderstruck: **The target suffers the damage rolled for the attack each round until healed.
85,**Gaping wound: **The target suffers the damage rolled for the attack each round until healed.,**Crushed: **The target suffers the damage rolled for the attack each round until healed.,**Pierced artery: **The target suffers the damage rolled for the attack each round until healed.,**Burnt to ash: **The target suffers the damage rolled for the attack each round until healed.,**Snowstruck: **The target suffers the damage rolled for the attack each round until healed.,**Lingering static: **The target suffers the damage rolled for the attack each round until healed.,**Burnt to ash: **The target suffers the damage rolled for the attack each round until healed.,**Lost cause: **The target suffers the damage rolled for the attack each round until healed.,**Everlasting shame: **The target suffers the damage rolled for the attack each round until healed.,**Eaten away: **The target suffers the damage rolled for the attack each round until healed.,**Cognitive disruption: **The target suffers the damage rolled for the attack each round until healed.,**Thunderstruck: **The target suffers the damage rolled for the attack each round until healed.
86,**Gaping wound: **The target suffers the damage rolled for the attack each round until healed.,**Crushed: **The target suffers the damage rolled for the attack each round until healed.,**Pierced artery: **The target suffers the damage rolled for the attack each round until healed.,**Burnt to ash: **The target suffers the damage rolled for the attack each round until healed.,**Snowstruck: **The target suffers the damage rolled for the attack each round until healed.,**Lingering static: **The target suffers the damage rolled for the attack each round until healed.,**Burnt to ash: **The target suffers the damage rolled for the attack each round until healed.,**Lost cause: **The target suffers the damage rolled for the attack each round until healed.,**Everlasting shame: **The target suffers the damage rolled for the attack each round until healed.,**Eaten away: **The target suffers the damage rolled for the attack each round until healed.,**Cognitive disruption: **The target suffers the damage rolled for the attack each round until healed.,**Thunderstruck: **The target suffers the damage rolled for the attack each round until healed.
87,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing ordeal: **The target suffers a permanent -2 loss to its CHA due to stress-related injuries.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.
88,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing ordeal: **The target suffers a permanent -2 loss to its CHA due to stress-related injuries.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.
89,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.,**Harrowing ordeal: **The target suffers a permanent -2 loss to its CHA due to stress-related injuries.,**Harrowing disfigurement: **The target suffers a permanent -2 loss to its CHA due to horrible scarring.
90,**Severed limb: **The target’s arm is severed. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Ruined limb: **The target’s arm is crushed. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Blinded: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed.,**Cauterized: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Frostbitten: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Cauterized: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Cauterized: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Abyssal decay: **The target is made blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Judged: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Cauterized: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Dumbstruck: **The target is rendered blind. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed. ,**Cannonade: **The target is rendered deaf. It suffers disadvantage for the remainder of the encounter and suffers a 50% HP loss every rd. until healed.
91,**Rent armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Crumpled armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Punctured armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Melted armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Shattered armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Fused armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Chaos-touched armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Decayed armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Shriven armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Dissolving armor: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Rendered defenseless: **The target’s AC is reduced by 2 for the remainder of the encounter.,**Broken armor: **The target’s AC is reduced by 2 for the remainder of the encounter.
